Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,Switzerland,2020-01-22,0.013602549285374577,0.006112655948308811-0.029896255231020796,0.0006801274642687289,0.00030563279741544055-0.00149481276155104,4.487407576822281e-06,1.0621477107687783e-06-1.8383326466535795e-05,0.0012343718979319883,4.738447073367611e-06-0.1751899715064974,0.0003298946015690698,3.552778441852069e-05-0.003007420444074218
,Switzerland,2020-01-23,0.017045892968196936,0.007715904728199789-0.03719279236962637,0.0008522946484098468,0.00038579523640998943-0.0018596396184813184,5.975640949052834e-06,1.430054674705001e-06-2.42122043572905e-05,0.001454234126862676,5.730059679274763e-06-0.20107715731819317,0.00035056191894445053,3.844977974476744e-05-0.0031379605127575872
,Switzerland,2020-01-24,0.02136088323148909,0.00973965920272698-0.04627013624694975,0.0010680441615744545,0.00048698296013634907-0.0023135068123474874,7.957441828199957e-06,1.9253973358990505e-06-3.188926883857032e-05,0.0017132574868455573,6.929186592077224e-06-0.2307895980417512,0.00037252400764353766,4.1612095664100794e-05-0.003274166803458763
,Switzerland,2020-01-25,0.026768168320066267,0.012294211074068003-0.057562913918031686,0.0013384084160033135,0.0006147105537034002-0.0028781456959015845,1.0596500189523298e-05,2.5923168999475543e-06-4.2000532130440214e-05,0.002018417228652022,8.379254233856929e-06-0.2648925374628602,0.00039586198289032074,4.503449744811314e-05-0.0034162852644551802
,Switzerland,2020-01-26,0.033544251278097806,0.015518779736392837-0.07161182832317727,0.0016772125639048904,0.000775938986819642-0.0035805914161588636,1.4110793228621062e-05,3.4902442132106137e-06-5.5317815788338865e-05,0.002377931011579087,1.0132776853761745e-05-0.30403474330121494,0.0004206620416606074,4.873837597693329e-05-0.0035645725197461214
,Switzerland,2020-01-27,0.042035629006359806,0.019589099531227876-0.08908954735738109,0.0021017814503179904,0.0009794549765613939-0.004454477367869055,1.8790589532346417e-05,4.699195792032395e-06-7.285766604293212e-05,0.002801480197131798,1.2253258333331199e-05-0.34896084920952686,0.0004470157810533413,5.274688144032943e-05-0.003719296332472373
,Switzerland,2020-01-28,0.05267651047254365,0.024726997014169503-0.11083291146780344,0.0026338255236271826,0.0012363498507084753-0.005541645573390173,2.5022424271417907e-05,6.32690429175907e-06-9.595894967214506e-05,0.003300470558800788,1.481749198173371e-05-0.40052552049534257,0.00047502053661015067,5.7085068035923724e-05-0.0038807360884605987
,Switzerland,2020-01-29,0.06601102009876975,0.031212480179772042-0.1378830018870879,0.0033005510049384876,0.0015606240089886022-0.006894150094354396,3.332102568364185e-05,8.51841882922554e-06-0.00012638505351950067,0.0038883394285986776,1.7918341608079406e-05-0.45970971304749286,0.0005047797418337859,6.178005056925912e-05-0.004049183300768497
,Switzerland,2020-01-30,0.08272102170036508,0.039398998489284756-0.17153498797772915,0.004136051085018254,0.0019699499244642377-0.008576749398886458,4.437182986607659e-05,1.1469030667112795e-05-0.00016645848883935726,0.0045809175515157275,2.1668104587436517e-05-0.5276393347683569,0.0005364033102347521,6.686117393497501e-05-0.004224942136146647
,Switzerland,2020-01-31,0.10366098575702146,0.049732705349703525-0.21340014038582925,0.005183049287851073,0.0024866352674851764-0.010670007019291463,5.908759545257316e-05,1.5441676099771417e-05-0.00021923817520243187,0.005396855392286919,2.6202578714102258e-05-0.6056066645161705,0.0005700080413191601,7.236019653901228e-05-0.004408329964373008
